from_to,total_length_mi,avg_curv_speed_mph
71::Riverside-San Bernardino-Ontario--Bakersfield-Delano,192.45326952955554,122.84918190074795
72::Phoenix-Mesa-Chandler--Riverside-San Bernardino-Ontario,386.2801687830406,137.13250976530574
73::Pittsburgh--Detroit-Warren-Dearborn,291.85026522131045,134.60560520445355
74::New York-Newark-Jersey City--Binghamton,223.33452678287406,116.98868704411831
75::Philadelphia-Camden-Wilmington--Pittsburgh,331.75908417942617,118.78438034164232
76::Philadelphia-Camden-Wilmington--Hartford-West Hartford-East Hartford,190.27132364813906,126.53496521566596
77::Richmond--Baltimore-Columbia-Towson,147.6650932834532,133.7808032490237
78::Orlando-Kissimmee-Sanford--North Port-Bradenton-Sarasota,136.609426006459,139.82277221609098
79::Boston-Cambridge-Newton--Bridgeport-Stamford-Danbury,190.2552739749023,124.52703363364232
7::Dallas-Fort Worth-Arlington--Houston-Pasadena-The Woodlands,255.61329630845563,136.70304056086576
80::Visalia--Los Angeles-Long Beach-Anaheim,237.18540033992605,126.20889073760262
81::Chicago-Naperville-Elgin--Peoria,144.25719946888705,138.4355512994437
82::Albany-Schenectady-Troy--Boston-Cambridge-Newton,195.11698027211807,113.23184210541628
83::Philadelphia-Camden-Wilmington--Virginia Beach-Chesapeake-Norfolk,256.92821232189857,140.826048722519
84::Miami-Fort Lauderdale-West Palm Beach--North Port-Bradenton-Sarasota,291.1351670777869,142.16005120124368
85::Indianapolis-Carmel-Greenwood--Louisville/Jefferson County,123.71979678331914,140.6950068189657
86::San Francisco-Oakland-Fremont--Fresno,196.53741640322505,137.70749412168666
87::Manchester-Nashua--New York-Newark-Jersey City,243.26177965776407,119.08276502019098
88::New York-Newark-Jersey City--Dover,163.25672072040618,135.6080085005617
89::Fort Wayne--Chicago-Naperville-Elgin,151.2334921747879,143.95272686823935
8::Los Angeles-Long Beach-Anaheim--Bakersfield-Delano,754.6585046817742,132.57711545804997
90::Detroit-Warren-Dearborn--Akron,180.98710315915844,137.4655136999021
91::Chicago-Naperville-Elgin--Cleveland,340.43858588162345,143.98192722658686
92::Atlanta-Sandy Springs-Roswell--Augusta-Richmond County,169.11002435783024,122.91540048425414
93::Pittsburgh--Columbus,182.05062173580882,121.75726954520144
94::Reading--Washington-Arlington-Alexandria,171.73433619450407,116.07133588741904
95::Boston-Cambridge-Newton--Washington-Arlington-Alexandria,446.30088416227807,128.89592020679297
96::New York-Newark-Jersey City--Pottsville,152.7152800647857,123.34539083315626
97::Philadelphia-Camden-Wilmington--Providence-Warwick,259.9773616336296,125.93699062568834
98::Baltimore-Columbia-Towson--Allentown-Bethlehem-Easton,185.1502058804855,122.34203917171033
99::New Haven--Boston-Cambridge-Newton,145.43032760004579,127.1605015527364
9::New York-Newark-Jersey City--Scranton--Wilkes-Barre,170.8297362216773,118.15732619303101
